Rooms,Distance,Value
5.981,3.6715,24.3
6.108,8.0555,24.3
6.417,5.2873,24.2
6.273,4.2515,24.1
6.162,6.27,24.1
6.579,10.7103,24.1
6.575,4.09,24
6.086,3.6519,24
6.619,5.4007,23.9
6.389,4.7794,23.9
6.127,5.5027,23.9
6.696,5.7321,23.9
5.877,2.4259,23.8
6.319,2.1,23.8
6.567,3.6023,23.8
6.426,4.5404,23.8
5.412,3.5875,23.7
6.481,6.1899,23.7
6.393,7.0355,23.7
7.007,3.4217,23.6
6.416,2.6463,23.6
6.29,6.6115,23.5
5.998,6.8147,23.4
6.245,5.2873,23.4
6.145,7.8148,23.3
6.51,1.7659,23.3
5.888,3.1121,23.3
6.606,6.1899,23.3
6.02,3.5549,23.2
6.209,7.3172,23.2
6.051,2.1678,23.2
5.935,4.4986,23.1
5.572,2.5961,23.1
6.382,3.5325,23.1
6.376,4.5404,23.1
6.516,8.5353,23.1
3.863,1.5106,23.1
6.372,2.3274,23
6.373,3.3633,23
6.312,5.4159,23
6.012,5.5605,22.9
6.167,5.4007,22.9
6.442,3.6659,22.9
6.49,8.7921,22.9
6.065,5.2873,22.8
6.715,2.6775,22.8
5.56,1.9865,22.8
6.635,3.3175,22.8
5.854,2.422,22.7
6.127,2.7227,22.7
6.417,3.0923,22.6
5.859,2.7019,22.6
5.891,3.9454,22.6
6.333,5.2146,22.6
6.112,2.5091,22.6
6.015,4.4272,22.5
5.783,4.3549,22.5
6.345,7.8278,22.5
5.807,3.6526,22.4
6.402,2.2625,22.3
6.315,7.3172,22.3
6.456,7.2255,22.2
6.121,3.7476,22.2
6.358,7.0355,22.2
6.083,5.4159,22.2
6.316,6.4584,22.2
6.122,2.6403,22.1
5.878,6.498,22
6.405,3.0921,22
5.87,2.2577,22
6.897,6.3361,22
6.453,7.3073,22
6.59,5.4917,22
6.108,9.2203,21.9
8.78,1.9047,21.9
4.963,1.7523,21.9
5.889,5.4509,21.7
5.961,5.2873,21.7
6.195,2.7778,21.7
5.96,3.8771,21.7
6.164,3.048,21.7
6.009,5.5027,21.7
6.395,2.5052,21.7
6.421,4.9671,21.6
6.266,3.2628,21.6
6.122,1.618,21.5
5.951,2.8893,21.5
6.286,4.5026,21.4
6.163,3.4952,21.4
5.986,1.9929,21.4
6.069,5.7209,21.2
6.232,5.0141,21.2
6.176,2.7301,21.2
5.856,4.429,21.1
6.037,5.9853,21.1
6.674,4.239,21
5.85,3.9342,21
6.113,4.0019,21
5.885,6.498,20.9
5.876,9.2203,20.9
6.14,4.0905,20.8
5.362,2.1036,20.8
5.92,3.9175,20.7
6.31,6.4584,20.7
6.249,3.615,20.6
6.059,4.8122,20.6
5.936,10.5857,20.6
6.115,6.8147,20.5
5.961,2.0869,20.5
6.226,8.0555,20.5
5.949,4.7075,20.4
6.127,2.1224,20.4
5.872,2.4775,20.4
6.041,4.7211,20.4
5.874,4.5026,20.3
6.004,2.1974,20.3
5.79,6.32,20.3
5.972,3.1025,20.3
5.456,3.7965,20.2
6.167,2.421,20.1
6.095,6.3361,20.1
6.23,9.0892,20.1
5.841,3.3779,20
5.786,5.1004,20
6.279,4.0522,20
5.344,3.875,20
5.834,4.4986,19.9
6.251,2.2955,19.9
6.474,2.4329,19.8
5.782,4.0317,19.8
6.144,5.8736,19.8
5.963,6.8147,19.7
5.965,4.0123,19.6
5.927,6.932,19.6
6.326,2.271,19.6
5.404,1.5916,19.6
5.851,2.1069,19.5
5.836,2.211,19.5
5.869,5.2311,19.5
5.602,6.0877,19.4
5.787,6.6115,19.4
6.229,2.5451,19.4
5.709,1.6232,19.4
6.023,2.834,19.4
6.031,6.6407,19.4
5.682,5.1004,19.3
6.137,2.7147,19.3
5.731,2.7592,19.3
5.404,3.665,19.3
5.868,5.2146,19.3
6.021,2.7474,19.2
6.458,2.1185,19.2
5.88,2.3887,19.1
5.985,4.8122,19
6.004,6.5921,18.9
6.009,6.2267,18.9
5.933,3.3603,18.9
5.888,7.3197,18.9
5.913,2.3534,18.8
5.879,2.0063,18.8
5.741,7.2254,18.7
6.092,2.548,18.7
5.968,4.8122,18.7
6.405,2.7147,18.6
5.884,10.7103,18.6
6.254,2.2565,18.5
5.605,7.9549,18.5
5.708,4.7211,18.5
5.895,5.615,18.5
6.495,4.4547,18.4
5.822,2.4699,18.4
5.928,2.4631,18.3
6.096,4.4619,18.2
5.727,3.7965,18.2
5.663,10.5857,18.2
6.335,2.1107,18.1
6.431,1.8125,18
6.151,1.6687,17.8
5.186,1.5296,17.8
5.914,3.9986,17.8
6.212,2.1222,17.8
5.593,7.9549,17.6
5.99,4.2579,17.5
6.014,8.0136,17.5
5.594,6.498,17.4
5.942,1.9669,17.4
5.875,2.4259,17.4
5.856,1.9444,17.3
5.898,8.0136,17.2
6.454,1.8498,17.1
5.706,6.6407,17.1
6.129,1.7494,17
5.803,1.9047,16.8
5.813,4.682,16.6
6.03,5.6894,16.6
5.631,6.0821,16.5
6.54,6.2669,16.5
5.693,1.7883,16.2
5.705,3.945,16.2
4.973,2.5194,16.1
5.966,6.8185,16
5.613,1.7572,15.7
5.924,4.3996,15.6
5.757,2.346,15.6
5.468,1.4118,15.6
